"Brand","Type","Year","Model","URL"
"Suzuki","Scooter","2024","BURGMAN 400 [AN400A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/65"
"Suzuki","Scooter","2023","BURGMAN 400 [AN400A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/64"
"Suzuki","Scooter","2022","BURGMAN 200 [UH200A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/62"
"Suzuki","Scooter","2022","BURGMAN 400 [AN400A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/63"
"Suzuki","Scooter","2020","BURGMAN 200 [UH200A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/60"
"Suzuki","Scooter","2020","BURGMAN 400 [AN400A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/61"
"Suzuki","Scooter","2019","BURGMAN 200 [UH200A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/58"
"Suzuki","Scooter","2019","BURGMAN 400 [AN400A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/59"
"Suzuki","Scooter","2018","BURGMAN 200 [UH200A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/53"
"Suzuki","Scooter","2018","BURGMAN 400 ABS [AN400A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/56"
"Suzuki","Scooter","2018","BURGMAN 650 EXECUTIVE ABS [AN650Z]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/57"
"Suzuki","Scooter","2017","BURGMAN 650 EXECUTIVE ABS [AN650Z]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/54"
"Suzuki","Scooter","2017","BURGMAN 200 [UH200A]","https://partsfinder.onlinemicrofiche.com/blackfootonline/showmodel/13/suzukisc/55"
