"Brand","Type","Year","Model","URL"
"Textron Off Road","ATV","2018","150 UTILITY WHITE (A2018KYC2BUST)","https://www.babbittsonline.com/oemparts/l/txt/5b3517ef87a866013094a3a6/2018-150-utility-white-a2018kyc2bust-parts"
"Textron Off Road","ATV","2018","90 2X4 DVX RED (A2018KSB2BUSR)","https://www.babbittsonline.com/oemparts/l/txt/5b351b3987a86613383d7572/2018-90-2x4-dvx-red-a2018ksb2busr-parts"
"Textron Off Road","ATV","2018","ALTERRA 300 GREEN (A2018KAF2BUSG)","https://www.babbittsonline.com/oemparts/l/txt/5b351c5187a86613383d75fa/2018-alterra-300-green-a2018kaf2busg-parts"
"Textron Off Road","ATV","2018","ALTERRA 300 RED (A2018KAF2BUSR)","https://www.babbittsonline.com/oemparts/l/txt/5b3517eb87a866013094a309/2018-alterra-300-red-a2018kaf2busr-parts"
"Textron Off Road","ATV","2018","ALTERRA 500 GREEN (A2018KAK4CUSG)","https://www.babbittsonline.com/oemparts/l/txt/5b3517ee87a866013094a3a2/2018-alterra-500-green-a2018kak4cusg-parts"
"Textron Off Road","ATV","2018","ALTERRA 500 RED (A2018KAK4CUSR)","https://www.babbittsonline.com/oemparts/l/txt/5b351b3587a86613383d756f/2018-alterra-500-red-a2018kak4cusr-parts"
"Textron Off Road","ATV","2018","ALTERRA 700 MUD PRO LTD EPS GRAY (A2018MLT1PUSI)","https://www.babbittsonline.com/oemparts/l/txt/5b351c7e87a86613383d7611/2018-alterra-700-mud-pro-ltd-eps-gray-a2018mlt1pusi-parts"
"Textron Off Road","ATV","2018","ALTERRA 700 RED (A2018XAT4EUSR)","https://www.babbittsonline.com/oemparts/l/txt/5b3517eb87a866013094a307/2018-alterra-700-red-a2018xat4eusr-parts"
"Textron Off Road","ATV","2018","ALTERRA 700 XT EPS CAMO (A2018XCT1PUSH)","https://www.babbittsonline.com/oemparts/l/txt/5b3517ef87a866013094a3a7/2018-alterra-700-xt-eps-camo-a2018xct1push-parts"
"Textron Off Road","ATV","2018","ALTERRA 700 XT EPS GRAY (A2018XCT1PUSI)","https://www.babbittsonline.com/oemparts/l/txt/5b351b2687a86613383d7567/2018-alterra-700-xt-eps-gray-a2018xct1pusi-parts"
"Textron Off Road","ATV","2018","ALTERRA 90 WHITE (A2018KXB2BUST)","https://www.babbittsonline.com/oemparts/l/txt/5b351c4e87a86613383d75f8/2018-alterra-90-white-a2018kxb2bust-parts"
"Textron Off Road","ATV","2018","ALTERRA TBX 700 EPS BLACK (A2018BAT1PUSP)","https://www.babbittsonline.com/oemparts/l/txt/5b3517eb87a866013094a30a/2018-alterra-tbx-700-eps-black-a2018bat1pusp-parts"
"Textron Off Road","ATV","2018","ALTERRA VLX 700 BLACK (A2018IBT4EUSP)","https://www.babbittsonline.com/oemparts/l/txt/5b3517ef87a866013094a3a9/2018-alterra-vlx-700-black-a2018ibt4eusp-parts"
"Textron Off Road","ATV","2018","ALTERRA VLX 700 CAMO (A2018IBT4EUSH)","https://www.babbittsonline.com/oemparts/l/txt/5b351b9487a86613383d75a0/2018-alterra-vlx-700-camo-a2018ibt4eush-parts"
